Resultados de la Detección de Pupilas
-------------------------------------
Fecha y Hora: 2025-02-17 11:04:29
Tiempo total de ejecución: 2 minutos y 54 segundos
Total de Parpadeos Detectados: 0
Interrupciones Detectadas: 1
Fijaciones Detectadas: 0
-------------------------------------

Posiciones de la Pupila:
  753: X = 368, Y = 258
  754: X = 368, Y = 258
  755: X = 368, Y = 258
  756: X = 367, Y = 257
  757: X = 367, Y = 257
  758: X = 367, Y = 257
  759: X = 367, Y = 257
  760: X = 367, Y = 257
  761: X = 367, Y = 257
  762: X = 367, Y = 257
  763: X = 367, Y = 257
  764: X = 367, Y = 257
  765: X = 367, Y = 257
  766: X = 367, Y = 257
  767: X = 366, Y = 257
  768: X = 366, Y = 257
  769: X = 366, Y = 257
  770: X = 366, Y = 257
  771: X = 366, Y = 257
  772: X = 366, Y = 257
  773: X = 366, Y = 258
  774: X = 366, Y = 258
  775: X = 366, Y = 257
  776: X = 366, Y = 257
  777: X = 366, Y = 257
  778: X = 366, Y = 257
  779: X = 367, Y = 258
  780: X = 367, Y = 258
  781: X = 367, Y = 258
  782: X = 367, Y = 258
  783: X = 366, Y = 258
  784: X = 366, Y = 258
  785: X = 366, Y = 257
  786: X = 366, Y = 257
  787: X = 366, Y = 258
  788: X = 366, Y = 258
  789: X = 366, Y = 258
  790: X = 380, Y = 255
  791: X = 380, Y = 255
  792: X = 379, Y = 255
  793: X = 379, Y = 255
  794: X = 380, Y = 255
  795: X = 380, Y = 255
  796: X = 380, Y = 255
  797: X = 380, Y = 255
  798: X = 381, Y = 256
  799: X = 381, Y = 256
  800: X = 380, Y = 256
  801: X = 380, Y = 256
  802: X = 380, Y = 256
  803: X = 380, Y = 256
  804: X = 380, Y = 256
  805: X = 381, Y = 256
  806: X = 381, Y = 256
  807: X = 381, Y = 256
  808: X = 381, Y = 256
  809: X = 381, Y = 256
  810: X = 381, Y = 256
  811: X = 381, Y = 256
  812: X = 381, Y = 256
  813: X = 381, Y = 256
  814: X = 381, Y = 256
  815: X = 381, Y = 256
  816: X = 381, Y = 256
  817: X = 380, Y = 256
  818: X = 380, Y = 256
  819: X = 381, Y = 256
  820: X = 381, Y = 256
  821: X = 381, Y = 256
  822: X = 381, Y = 256
  823: X = 380, Y = 256
  824: X = 380, Y = 256
  825: X = 380, Y = 255
  826: X = 380, Y = 255
  827: X = 380, Y = 255
  828: X = 380, Y = 255
  829: X = 380, Y = 255
  830: X = 380, Y = 255
  831: X = 380, Y = 255
  832: X = 380, Y = 255
  833: X = 380, Y = 255
  834: X = 380, Y = 249
  835: X = 380, Y = 249
  836: X = 380, Y = 256
  837: X = 380, Y = 256
  838: X = 379, Y = 256
  839: X = 379, Y = 256
  840: X = 379, Y = 256
  841: X = 379, Y = 256
  842: X = 379, Y = 256
  843: X = 379, Y = 256
  844: X = 379, Y = 255
  845: X = 379, Y = 255
  846: X = 379, Y = 255
  847: X = 379, Y = 255
  848: X = 379, Y = 255
  849: X = 376, Y = 257
  850: X = 371, Y = 258
  851: X = 371, Y = 258
  852: X = 371, Y = 258
  853: X = 372, Y = 258
  854: X = 372, Y = 258
  855: X = 366, Y = 259
  856: X = 366, Y = 259
  857: X = 367, Y = 258
  858: X = 367, Y = 258
  859: X = 367, Y = 258
  860: X = 367, Y = 258
  861: X = 366, Y = 259
  862: X = 366, Y = 259
  863: X = 366, Y = 259
  864: X = 365, Y = 259
  865: X = 365, Y = 259
  866: X = 365, Y = 258
  867: X = 365, Y = 258
  868: X = 366, Y = 258
